"Techstack","Links"
"React, Next.js, Firebase","https://example.com/react-next-portfolio"
"Vue.js, Nuxt.js, AWS","https://example.com/vue-nuxt-portfolio"
"Python, Flask, MongoDB","https://example.com/python-flask-portfolio"
"Golang, Kubernetes, PostgreSQL","https://example.com/golang-kubernetes-portfolio"
"Node.js, Express, Redis","https://example.com/nodejs-express-portfolio"
"PHP, Laravel, MySQL","https://example.com/php-laravel-portfolio"
"Ruby, Sinatra, SQLite","https://example.com/ruby-sinatra-portfolio"
"Java, Micronaut, Cassandra","https://example.com/java-micronaut-portfolio"
"Elixir, Phoenix, PostgreSQL","https://example.com/elixir-phoenix-portfolio"
"Rust, Actix, MySQL","https://example.com/rust-actix-portfolio"
"Scala, Play, MongoDB","https://example.com/scala-play-portfolio"
"ASP.NET Core, SQL Server, Docker","https://example.com/asp-net-core-portfolio"
"Svelte, Node.js, Firebase","https://example.com/svelte-portfolio"
"React Native, Expo, GraphQL","https://example.com/react-native-expo-portfolio"
"Flutter, Supabase, REST API","https://example.com/flutter-supabase-portfolio"
"Blockchain, Solidity, Ethereum","https://example.com/blockchain-portfolio"
"DevOps, Kubernetes, Terraform","https://example.com/devops-kubernetes-portfolio"
"Data Science, R, Shiny","https://example.com/data-science-r-portfolio"
"AI, PyTorch, OpenAI API","https://example.com/ai-pytorch-portfolio"
"Cybersecurity, Kali Linux, Wireshark","https://example.com/cybersecurity-portfolio"
"Cloud, AWS Lambda, DynamoDB","https://example.com/aws-lambda-portfolio"\
"GraphQL, Apollo, MongoDB","https://example.com/graphql-apollo-portfolio"
"SwiftUI, Combine, Core Data","https://example.com/swiftui-portfolio"
"Kotlin Multiplatform, Ktor, PostgreSQL","https://example.com/kotlin-multiplatform-portfolio"
"React, Redux, TailwindCSS","https://example.com/react-redux-tailwind-portfolio"
"Vue.js, Vuetify, Firebase","https://example.com/vue-vuetify-portfolio"
"TypeScript, NestJS, PostgreSQL","https://example.com/typescript-nestjs-portfolio"
"Angular, RxJS, NgRx","https://example.com/angular-rxjs-portfolio"
"React, Gatsby, Contentful","https://example.com/react-gatsby-portfolio"
"Go, Gin, MySQL","https://example.com/go-gin-portfolio"
"TensorFlow, Python, Keras","https://example.com/tensorflow-keras-portfolio"

